"","CA_city_vec"
"317","Greenville"
"318","Greenwood"
"319","Grenada"
"320","Gridley"
"321","Grizzly Flats"
"322","Groveland"
"323","Grover Beach"
"324","Grover City"
"325","Guadalupe"
"326","Gualala"
"327","Guerneville"
"328","Gustine"
"329","Hacienda Heights"
"330","Half Moon Bay"
"331","Hanford"
"332","Harbor City"
"333","Havilah"
"334","Hawthorne"
"335","Hayfork"
"336","Hayward"
"337","Healdsburg"
"338","Helendale"
"339","Hemet"
"340","Herald"
"341","Hercules"
"342","Hermosa Beach"
"343","Hesperia"
"344","Hidden Hills"
"345","Hidden Valley Lake"
"346","Highland"
"347","Hillsborough"
"348","Hilmar"
"349","Hollister"
"350","Hollyglen"
"351","Hollywood"
"352","Holtville"
"353","Homeland"
"354","Homewood"
"355","Honeydew"
"356","Hood"
"357","Hopland"
"358","Hornbrook"
"359","Horse Creek"
"360","Hughson"
"361","Huntington Beach"
"362","Huntington Park"
"363","Hydesville"
"364","Idyllwild"
"365","Igo"
"366","Imperial"
"367","Imperial Beach"
"368","Independence"
"369","Indian Wells"
"370","Indio"
"371","Inglewood"
"372","Inverness"
"373","Ione"
"374","Irvine"
"375","Irwindale"
"376","Jackson"
"377","Jacumba"
"378","Jamestown"
"379","Jamul"
"380","Jenner"
"381","Joshua Tree"
"382","Julian"
"383","June Lake"
"384","Jurupa Valley"
"385","Keene"
"386","Kelseyville"
"387","Kensington"
"388","Kentfield"
"389","Kenwood"
"390","Kerman"
"391","Kernville"
"392","King City"
"393","Kings Beach"
"394","Kingsburg"
"395","La Canada"
"396","La Canada Flintridge"
"397","La Costa"
"398","La Crescenta"
"399","La Habra"
"400","La Habra Heights"
"401","La Honda"
"402","La Jolla"
"403","La Mesa"
"404","La Mirada"
"405","La Palma"
"406","La Puente"
"407","La Quinta"
"408","La Selva Beach"
"409","La Verne"
"410","Ladera Ranch"
"411","Lafayette"
"412","Laguna Beach"
"413","Laguna Hills"
"414","Laguna Niguel"
"415","Laguna Woods"
"416","Lake Almanor"
"417","Lake Arrowhead"
"418","Lake Balboa"
"419","Lake Elsinore"
"420","Lake Forest"
"421","Lake Isabella"
"422","Lake Sherwood"
"423","Lakehead"
"424","Lakeport"
"425","Lakeside"
"426","Lakewood"
"427","Lamont"
"428","Lancaster"
"429","Landers"
"430","Larkspur"
"431","Lathrop"
"432","Latrobe"
"433","Lawndale"
"434","Laytonville"
"435","Lebec"
"436","Lee Vining"
"437","Lemon Grove"
"438","Lemoore"
"439","Leona Valley"
"440","Leucadia"
"441","Lincoln"
"442","Linden"
"443","Lindsay"
"444","Little River"
"445","Livermore"
"446","Livingston"
"447","Lockeford"
"448","Lodi"
"449","Loma Linda"
"450","Loma Mar"
"451","Lomita"
"452","Lompoc"
"453","Long Beach"
"454","Loomis"
"455","Los Alamitos"
"456","Los Alamos"
"457","Los Altos"
"458","Los Altos Hills"
"459","Los Angeles"
"460","Los Banos"
"461","Los Gatos"
"462","Los Molinos"
"463","Los Olivos"
"464","Los Osos"
"465","Lotus"
"466","Lower Lake"
"467","Lucerne Valley"
"468","Lynwood"
"469","Madera"
"470","Magalia"
"471","Malibu"
"472","Mammoth Lakes"
"473","Manhattan Beach"
"474","Manteca"
"475","Manton"
"476","March Air Reserve Base"
"477","Marina"
"478","Marina Del Rey"
"479","Mariposa"
"480","Markleeville"
"481","Martinez"
"482","Marysville"
"483","Mather"
"484","Maxwell"
"485","McArthur"
"486","McKinleyville"
"487","Mcclellan"
"488","Mccloud"
"489","Meadow Vista"
"490","Mendocino"
"491","Menifee"
"492","Menlo Park"
"493","Mentone"
"494","Merced"
"495","Mi-Wuk Village"
"496","Middletown"
"497","Midway City"
"498","Mill Valley"
"499","Millbrae"
"500","Millville"
"501","Milpitas"
"502","Mira Loma"
"503","Miranda"
"504","Mission Hills"
"505","Mission Viejo"
"506","Modesto"
"507","Moffett Field"
"508","Mojave"
"509","Mokelumne Hill"
"510","Monarch Beach"
"511","Monrovia"
"512","Montague"
"513","Montara"
"514","Montclair"
"515","Monte Rio"
"516","Monte Sereno"
"517","Montebello"
"518","Montecito"
"519","Monterey"
"520","Monterey Park"
"521","Montrose"
"522","Moorpark"
"523","Moraga"
"524","Moreno Valley"
"525","Morgan Hill"
"526","Morongo Valley"
"527","Morro Bay"
"528","Moss Beach"
"529","Moss Landing"
"530","Mount Hermon"
"531","Mount Shasta"
